Contrato,Dirección Suministro,Uso,M3 Consumidos
6145695,AV.CONSTITUCION 33,DOMESTICO,0
6145696,AV.CONSTITUCION 35,DOMESTICO,0
6145698,AV.CONSTITUCION 39,DOMESTICO,33
6145699,AV.CONSTITUCION 2,DOMESTICO,1
6145700,AV.CONSTITUCION 8,DOMESTICO,0
6145701,AV.CONSTITUCION 10,DOMESTICO,23
6145702,AV.CONSTITUCION 12,DOMESTICO,0
6145703,AV.CONSTITUCION 14,DOMESTICO,10
6145705,AV.CONSTITUCION 18,DOMESTICO,39
6145706,AV.CONSTITUCION 20,DOMESTICO,19
6145707,AV.CONSTITUCION 24-2-A,DOMESTICO,0
6145708,AV.CONSTITUCION 24,COMERCIAL,4
6145709,AV.CONSTITUCION 30,DOMESTICO,1
6145710,AV.CONSTITUCION 32,DOMESTICO,23
6145711,AV.CONSTITUCION 34,COMERCIAL,23
6145712,AV.CONSTITUCION 36,DOMESTICO,0
6145713,AV.CONSTITUCION 38,DOMESTICO,3
6145714,AV.CONSTITUCION 40-A,DOMESTICO,25
6145715,AV.CONSTITUCION 42,DOMESTICO,18
6145717,AV.CONSTITUCION 46,DOMESTICO,14
6145718,AV.CONSTITUCION 50-A,DOMESTICO,29
6145719,AV.CONSTITUCION 54,DOMESTICO,19
6145720,LARGA BAJA 38 A,DOMESTICO,13
6145721,AV.CONSTITUCION 58-A,DOMESTICO,1
6145722,AV.CONSTITUCION 60,DOMESTICO,10
6145725,AV.CONSTITUCION 68,DOMESTICO,24
6145726,AV.CONSTITUCION 70,DOMESTICO,0
6145727,AV.CONSTITUCION 72,DOMESTICO,16
6145728,AV.CONSTITUCION 23-A,DOMESTICO,16
6145729,AV.CONSTITUCION 50,DOMESTICO,0
6145731,CORTES 1,DOMESTICO,0
6145733,CORTES 15,DOMESTICO,14
6145735,CORTES 2,DOMESTICO,30
6145736,CORTES 12,DOMESTICO,12
6145738,CRUZ 1,DOMESTICO,0
6145739,CRUZ 5,DOMESTICO,0
6145740,CRUZ 7,DOMESTICO,24
6145741,CRUZ 7 A,DOMESTICO,2
6145742,CRUZ 9,DOMESTICO,27
6145743,CRUZ 11,DOMESTICO,17
6145744,CRUZ 6 .,DOMESTICO,4
6145745,"CHARCA, RDA. 18 2º-D",DOMESTICO,18
6145747,CRUZ 10,DOMESTICO,10
6145748,CRUZ 10 A,DOMESTICO,1
6145750,"CURA, DEL 15",DOMESTICO,18
6145753,"CURA, DEL 7 A",DOMESTICO,1
6145755,"CURA, DEL 11",DOMESTICO,44
6145756,"CURA, DEL 13",DOMESTICO,15
6145757,"SOLEDAD, RDA. SN",GARAJES,5
6145758,"CURA, DEL 17 A",DOMESTICO,21
6145759,"CURA, DEL 21",DOMESTICO,5
6145760,"CURA, DEL 25",DOMESTICO,24
6145761,"CURA, DEL 27",DOMESTICO,0
6145762,"CURA, DEL 29 A",DOMESTICO,0
6145763,"CURA, DEL 31",DOMESTICO,0
6145764,"CURA, DEL 31 A",DOMESTICO,13
6145765,"CURA, DEL 33",DOMESTICO,12
6145766,"CURA, DEL 37",DOMESTICO,0
6145767,"CURA, DEL 39 A",DOMESTICO,0
6145768,"CURA, DEL 39",DOMESTICO,12
6145770,"CURA, DEL 49",DOMESTICO,16
6145771,"CURA, DEL 4",DOMESTICO,3
6145772,"CURA, DEL 8 B",DOMESTICO,1
6145773,"CURA, DEL 8 A",DOMESTICO,16
6145774,"CURA, DEL 8",DOMESTICO,15
6145775,"CURA, DEL 10",DOMESTICO,4
6145776,"CURA, DEL 12",DOMESTICO,27
6145777,"CURA, DEL 12 A",DOMESTICO,36
6145778,"CURA, DEL 16",DOMESTICO,1
6145779,"CURA, DEL 18",DOMESTICO,5
6145780,"CURA, DEL 18 A",DOMESTICO,11
6145781,"CURA, DEL 20",DOMESTICO,30
6145782,"CURA, DEL 22",DOMESTICO,12
6145783,"CURA, DEL 26 A",DOMESTICO,12
6145784,"CURA, DEL 26",DOMESTICO,12
6145785,"CURA, DEL 30",DOMESTICO,21
6145786,"CURA, DEL 34",DOMESTICO,29
6145787,"CURA, DEL 36",DOMESTICO,14
6145788,"CURA, DEL 42",DOMESTICO,0
6145789,"CURA, DEL 44",DOMESTICO,0
6145790,"CURA, DEL 48",DOMESTICO,17
6145791,"CURA, DEL 52",DOMESTICO,3
6145795,"CURA, DEL 60 A",DOMESTICO,4
6145796,"CURA, DEL 64 A",DOMESTICO,15
6145797,"CURA, DEL 64 B",DOMESTICO,2
6145798,"CURA, DEL 64",DOMESTICO,23
6145799,"CURA, DEL 66",DOMESTICO,7
6145800,"CURA, DEL 68",DOMESTICO,34
6145801,"CURA, DEL 70 1º-B",DOMESTICO,30
6145802,"CURA, DEL 70 1º-A",DOMESTICO,0
6145803,"CURA, DEL 3 A",DOMESTICO,24
6145804,"CURA, DEL 36 A",DOMESTICO,24
6145805,"CURA, DEL 45 2º",DOMESTICO,20
6145806,"CURA, DEL 45 1º-IZ",DOMESTICO,0
6145807,"CURA, DEL 45 1º-D",DOMESTICO,13
6145809,"CURA, DEL 62",GARAJES,0
6145810,"CURA, DEL 50 A",DOMESTICO,4
6145811,"CURA, DEL 58",DOMESTICO,19
6145812,"CURA, DEL 50",DOMESTICO,23
6145813,"CURA, DEL 72",COMERCIAL,4
6145815,"CURA, DEL 24 2º-B",DOMESTICO,0
6145816,"CURA, DEL 24 1º-A",DOMESTICO,21
6145817,"NUÑEZ DE BALBOA, TRVA SN",NO DOMESTICO,0
6145819,"CHARCA, RDA. SN",NO DOMESTICO,0
6145820,"CHARCA, RDA. SN",GARAJES,4
6145821,"NUÑEZ DE BALBOA, TRVA SN",NO DOMESTICO,1
6145822,"CHARCA, RDA. SN",NO DOMESTICO,0
6145823,"CHARCA, RDA. SN",NO DOMESTICO,1
6145824,"CHARCA, RDA. SN",NO DOMESTICO,2
6145825,"CHARCA, RDA. SN",GARAJES,1
6145827,"CHARCA, RDA. SN",GARAJES,8
6145828,"CHARCA, RDA. SN",GARAJES,0
6145829,"CHARCA, RDA. SN",GARAJES,0
6145830,"CHARCA, RDA. SN",GARAJES,0
6145831,"CHARCA, RDA. SN",GARAJES,4
6145833,PS.DE PESCADORES 12-1-C,DOMESTICO,41
6145834,"CHARCA, RDA. 18 D",DOMESTICO,0
6145836,"NUÑEZ DE BALBOA, TRVA SN",GARAJES,2
6145837,"CHARCA, CUARTEL 41 3º-C",DOMESTICO,13
6145838,"CHARCA, RDA. SN",NO DOMESTICO,0
6145839,"CHARCA, RDA. SN",GARAJES,1
6145840,LOBO 72 BAJO,NO DOMESTICO,10
6145841,"SANTO, DEL 3",DOMESTICO,21
6145842,"SANTO, DEL 7",DOMESTICO,4
6145843,"SANTO, DEL 9",DOMESTICO,0
6145844,"SANTO, DEL 11",DOMESTICO,21
6145845,"SANTO, DEL 17",DOMESTICO,4
6145846,"SANTO, DEL 21",DOMESTICO,4
6145847,"SANTO, DEL 23",DOMESTICO,15
6145849,"SANTO, DEL 27",DOMESTICO,17
6145851,"SANTO, DEL 31 A",DOMESTICO,1
6145852,"SANTO, DEL 31",DOMESTICO,19
6145853,"SANTO, DEL 33",DOMESTICO,0
6145854,"SANTO, DEL 37",DOMESTICO,1
6145855,"SANTO, DEL 39",DOMESTICO,15
6145856,"SANTO, DEL 41",DOMESTICO,13
6145857,"SANTO, DEL 43",DOMESTICO,7
6145859,"SANTO, DEL 47",DOMESTICO,14
6145860,"SANTO, DEL 49",DOMESTICO,0
6145861,"SANTO, DEL 51",DOMESTICO,0
6145863,"SANTO, DEL 55",DOMESTICO,0
6145864,"SANTO, DEL 59",DOMESTICO,31
6145865,"SANTO, DEL 63",DOMESTICO,28
6145867,"SANTO, DEL 67",DOMESTICO,15
6145869,"SANTO, DEL 73 B",DOMESTICO,25
6145870,"SANTO, DEL 73 A",DOMESTICO,27
6145871,"SANTO, DEL 73",DOMESTICO,6
6145872,"SANTO, DEL 75",DOMESTICO,11
6145873,"SANTO, DEL 81",DOMESTICO,0
6145874,"SANTO, DEL 83",DOMESTICO,0
6145875,"SANTO, DEL 85",DOMESTICO,1
6145876,"SANTO, DEL 87",DOMESTICO,0
6145877,"SANTO, DEL 89",DOMESTICO,17
6145878,"SANTO, DEL 91",DOMESTICO,103
6145879,"SANTO, DEL 93",GARAJES,0
6145880,"SANTO, DEL 2",DOMESTICO,14
6145883,"SANTO, DEL 10 A",DOMESTICO,24
6145884,"SANTO, DEL 12",DOMESTICO,0
6145885,"SANTO, DEL 14 A",DOMESTICO,15
6145888,"SANTO, DEL 22",DOMESTICO,34
6145889,"SANTO, DEL 24",DOMESTICO,7
6145890,"SANTO, DEL 28",DOMESTICO,16
6145892,"SANTO, DEL 32",DOMESTICO,2
6145893,"SANTO, DEL 34",DOMESTICO,26
6145894,"SANTO, DEL 36",DOMESTICO,45
6145895,"SANTO, DEL 38",DOMESTICO,22
6145896,"SANTO, DEL 40",DOMESTICO,31
6145897,"SANTO, DEL 42",DOMESTICO,16
6145898,"SANTO, DEL 42 A",DOMESTICO,23
6145899,"SANTO, DEL 44",DOMESTICO,14
6145900,PS.DE PESCADORES 10-A,DOMESTICO,3
6145901,"SANTO, DEL 48",DOMESTICO,4
6145902,"SANTO, DEL 52",DOMESTICO,16
6145903,"SANTO, DEL 58 2º",DOMESTICO,20
6145904,"SANTO, DEL 60",DOMESTICO,8
6145905,"SANTO, DEL 60 A",DOMESTICO,12
6145906,"SANTO, DEL 62",DOMESTICO,1
6145908,"SANTO, DEL 66",DOMESTICO,2
6145909,"SANTO, DEL 68",DOMESTICO,11
6145910,"SANTO, DEL 70",DOMESTICO,49
6145911,"SANTO, DEL 72 A",DOMESTICO,21
6145912,"SANTO, DEL 74",DOMESTICO,0
6145913,"SANTO, DEL 76",DOMESTICO,3
6145914,"SANTO, DEL 78",DOMESTICO,1
6145915,"SANTO, DEL 80",DOMESTICO,7
6145916,"SANTO, DEL 82",DOMESTICO,29
6145917,"SANTO, DEL 86",DOMESTICO,50
6145918,"SANTO, DEL 88 A",DOMESTICO,19
6145921,"SANTO, DEL 92",DOMESTICO,16
6145922,"SANTO, DEL 94",DOMESTICO,11
6145923,"SANTO, DEL 100",DOMESTICO,14
6145926,"SANTO, DEL 61",DOMESTICO,22
6145927,"SANTO, DEL 32 A",DOMESTICO,0
6145928,"SANTO, DEL 8 1º",DOMESTICO,33
6145929,"SANTO, DEL 8 2º-B",DOMESTICO,26
6145931,"SANTO, DEL 77",DOMESTICO,3
6145932,DCBTO.AMERICA 5,DOMESTICO,2
6145933,DCBTO.AMERICA 4,DOMESTICO,27
6145936,"SOLEDAD, RDA. SN",GARAJES,3
6145938,DIPUTACION 2,DOMESTICO,21
6145939,DIPUTACION 3,DOMESTICO,20
6145940,DIPUTACION 4,DOMESTICO,25
6145941,DIPUTACION 5,DOMESTICO,26
6145942,DIPUTACION 6,DOMESTICO,26
6145943,DIPUTACION 7,DOMESTICO,40
6145944,DIPUTACION 8,DOMESTICO,1
6145945,DIPUTACION 9,DOMESTICO,32
6145946,DIPUTACION 10,DOMESTICO,34
6145947,DIPUTACION 11,DOMESTICO,29
6145948,DIPUTACION 12,DOMESTICO,61
6145949,DIPUTACION 13,DOMESTICO,19
6145950,DIPUTACION 14,DOMESTICO,33
6145951,DIPUTACION 15,DOMESTICO,25
6145952,DIPUTACION 16,DOMESTICO,29
6145953,DIPUTACION 17,DOMESTICO,6
6145954,DIPUTACION 18,DOMESTICO,1
6145955,DIPUTACION 19,DOMESTICO,23
6145956,DIPUTACION 20,DOMESTICO,4
6145957,DIPUTACION 21,DOMESTICO,33
6145959,DIPUTACION 24,DOMESTICO,31
6145960,DIPUTACION 25,DOMESTICO,13
6145961,DIPUTACION 26,DOMESTICO,19
6145962,DIPUTACION 27,DOMESTICO,12
6145963,DIPUTACION 28,DOMESTICO,30
6145964,DIPUTACION 29,DOMESTICO,14
6145965,DIPUTACION 30,DOMESTICO,13
6145966,DIPUTACION 31,DOMESTICO,20
6145967,DIPUTACION 32,DOMESTICO,6
6145968,DIPUTACION 34,DOMESTICO,59
6145970,DIPUTACION 36,DOMESTICO,7
6145971,DIPUTACION 37,DOMESTICO,44
6145972,DIPUTACION 38,DOMESTICO,22
6145973,DIPUTACION 39,DOMESTICO,32
6145974,DIPUTACION 40,DOMESTICO,63
6145975,DIPUTACION 41,DOMESTICO,27
6145976,DIPUTACION 42,DOMESTICO,18
6145977,DIPUTACION 43,DOMESTICO,29
6145978,DIPUTACION 44,DOMESTICO,6
6145979,DIPUTACION 45,DOMESTICO,24
6145980,DIPUTACION 46,DOMESTICO,40
6145981,DIPUTACION 47,DOMESTICO,24
6145982,DIPUTACION 48,DOMESTICO,17
6145983,DIPUTACION 49,DOMESTICO,14
6145984,DIPUTACION 50,DOMESTICO,13
6145985,DIPUTACION 51,DOMESTICO,14
6145987,EJIDO MARTIRES SN,NO DOMESTICO,1
6145988,"SOLEDAD, RDA. SN",GARAJES,7
6145989,"SOLEDAD, RDA. SN",GARAJES,8
6145991,EJIDO MARTIRES SN,NO DOMESTICO,0
6145992,EJIDO MARTIRES SN,NO DOMESTICO,0
6145993,EJIDO MARTIRES SN,GARAJES,1
6145994,EJIDO MARTIRES SN,GARAJES,0
6145995,EJIDO MARTIRES SN,NO DOMESTICO,5
6145996,EJIDO MARTIRES SN,GARAJES,1
6145997,EJIDO MARTIRES SN,GARAJES,4
6145998,EJIDO MARTIRES SN,GARAJES,0
6146000,EJIDO MARTIRES SN,NO DOMESTICO,5
6146001,EJIDO MARTIRES SN,NO DOMESTICO,1
6146002,EJIDO MARTIRES SN,NO DOMESTICO,5
6146003,EJIDO MARTIRES SN,GARAJES,1
6146004,AV.EJIDO DE ABAJO 19,INDUSTRIAL,28
6146005,EJIDO MARTIRES SN,GARAJES,17
6146007,KINEA 5,COMUNIDAD PROPIETARIOS,0
6146008,EJIDO MARTIRES SN,GARAJES,1
6146009,EJIDO MARTIRES SN,GARAJES,0
6146010,AV.EJIDO DE ABAJO 14,INDUSTRIAL,13
6146011,AV.EJIDO DE ABAJO 8,NO DOMESTICO,1
6146012,EJIDO MARTIRES SN,GARAJES,1
6146013,EJIDO MARTIRES SN,NO DOMESTICO,0
6146014,"LLANOS, RONDA DE LOS 4",COMERCIAL,12
6146015,PS.DE PESCADORES 10-2-B,DOMESTICO,32
6146016,EJIDO MARTIRES SN,NO DOMESTICO,10
6146017,EJIDO MARTIRES SN,DOMESTICO,16
6146018,PS.EXTREMADURA 15-A,DOMESTICO,20
6146019,EJIDO SANTO SN,NO DOMESTICO,0
6146022,EJIDO SANTO SN,GARAJES,6
6146023,EJIDO SANTO SN,INDUSTRIAL,257
6146024,CANTARRANA SN,GARAJES,12
6146025,EJIDO SANTO SN,GARAJES,1
6146026,EJIDO SANTO SN,INDUSTRIAL,2877
6146028,LAS ERAS SN 1º-A,DOMESTICO,27
6146029,LAS ERAS SN 2º-A,DOMESTICO,36
6146030,LAS ERAS SN 3º-A,DOMESTICO,35
6146031,LAS ERAS SN 4º-A,DOMESTICO,20
6146032,LAS ERAS SN 1º-B,DOMESTICO,22
6146033,LAS ERAS SN 2º-B,DOMESTICO,13
6146034,LAS ERAS SN 3º-B,DOMESTICO,37
6146035,LAS ERAS SN 4º-B,DOMESTICO,20
6146036,LAS ERAS SN 1º-C,DOMESTICO,5
6146037,LAS ERAS SN 2º-C,DOMESTICO,15
6146038,LAS ERAS SN 3º-C,DOMESTICO,23
6146040,LAS ERAS SN 1º-D,DOMESTICO,18
6146041,LAS ERAS SN 2º-D,DOMESTICO,21
6146042,LAS ERAS SN 3º-D,DOMESTICO,25
6146043,LAS ERAS SN 4º-D,DOMESTICO,10
6146044,LAS ERAS SN 1º-E,DOMESTICO,8
6146045,LAS ERAS SN 2º-E,DOMESTICO,35
6146046,LAS ERAS SN 3º-E,DOMESTICO,34
6146047,LAS ERAS SN 4º-E,DOMESTICO,19
6146048,LAS ERAS SN 2º-F,DOMESTICO,21
6146052,LAS ERAS SN 2º-G,DOMESTICO,17
6146053,LAS ERAS SN 3º-G,DOMESTICO,18
6146054,LAS ERAS SN 4º-G,DOMESTICO,1
6146055,LAS ERAS SN 1º-H,DOMESTICO,15
6146056,LAS ERAS SN 2º-H,DOMESTICO,31
6146057,LAS ERAS SN 3º-H,DOMESTICO,31
6146058,LAS ERAS SN 4º-H,DOMESTICO,20
6146059,LAS ERAS SN 1º-I,DOMESTICO,26
6146060,LAS ERAS SN 2º-I,DOMESTICO,29
6146061,LAS ERAS SN 3º-I,DOMESTICO,18
6146062,LAS ERAS SN 4º-I,DOMESTICO,21
6146063,LAS ERAS SN 1º-J,DOMESTICO,39
6146065,LAS ERAS SN 3º-J,DOMESTICO,15
6146066,LAS ERAS SN 4º-J,DOMESTICO,11
6146067,LAS ERAS SN 1º-K,DOMESTICO,27
6146068,LAS ERAS SN 2º-K,DOMESTICO,18
6146070,LAS ERAS SN 4º-K,DOMESTICO,15
6146071,LAS ERAS SN 1º-L,DOMESTICO,11
6146072,LAS ERAS SN 2º-L,DOMESTICO,14
6146073,LAS ERAS 3-L,DOMESTICO,36
6146074,LAS ERAS SN 4º-L,DOMESTICO,28
6146075,LAS ERAS SN 1º-M,DOMESTICO,40
6146076,LAS ERAS SN 2º-M,DOMESTICO,20
6146077,LAS ERAS SN 3º-M,DOMESTICO,12
6146078,LAS ERAS SN 4º-M,DOMESTICO,48
6146079,LAS ERAS SN 1º-N,DOMESTICO,31
6146080,LAS ERAS SN 3º-N,DOMESTICO,21
6146081,LAS ERAS SN 4º-N,DOMESTICO,8
6146082,LAS ERAS SN 1º-Ñ,DOMESTICO,23
6146083,LAS ERAS SN 2º-Ñ,DOMESTICO,17
6146084,LAS ERAS SN 3º-Ñ,DOMESTICO,22
6146085,LAS ERAS SN 4º-Ñ,DOMESTICO,12
6146086,LAS ERAS SN 1º-O,DOMESTICO,15
6146087,LAS ERAS SN 2º-O,DOMESTICO,29
6146088,LAS ERAS SN 3º-O,DOMESTICO,18
6146089,LAS ERAS SN 4º-O,DOMESTICO,17
6146090,LAS ERAS SN 1º-P,DOMESTICO,0
6146091,LAS ERAS SN 2º-P,DOMESTICO,8
6146092,LAS ERAS SN 3º-P,DOMESTICO,22
6146095,LAS ERAS SN 2º-Q,DOMESTICO,16
6146096,LAS ERAS SN 3º-Q,DOMESTICO,24
6146097,LAS ERAS SN 4º-Q,DOMESTICO,21
6146098,LAS ERAS SN 1º-R,DOMESTICO,22
6146099,LAS ERAS 2 B/R,DOMESTICO,37
6146100,LAS ERAS 3 BLQ. R,DOMESTICO,40
6146101,LAS ERAS SN 4º-R,DOMESTICO,28
6146102,LAS ERAS SN 1º-S,DOMESTICO,9
6146103,LAS ERAS SN 2º-S,DOMESTICO,25
6146104,LAS ERAS SN 3º-S,DOMESTICO,15
6146105,LAS ERAS SN 4º-S,DOMESTICO,20
6146107,PS.EXTREMADURA 4,DOMESTICO,28
6146109,PS.EXTREMADURA 8,DOMESTICO,75
6146110,PS.EXTREMADURA 10,DOMESTICO,39
6146111,PS.EXTREMADURA 12,DOMESTICO,30
6146112,PS.EXTREMADURA 14,DOMESTICO,11
6146113,PS.EXTREMADURA 16,DOMESTICO,11
6146114,PS.EXTREMADURA 11-1-C,DOMESTICO,42
6146115,PS.EXTREMADURA 11-2-E,DOMESTICO,26
6146117,PS.EXTREMADURA 11-2-A,DOMESTICO,40
6146118,PS.EXTREMADURA 11-1-B,DOMESTICO,1
6146119,PS.EXTREMADURA 11-1-D,DOMESTICO,0
6146120,PS.EXTREMADURA 11-1-A,DOMESTICO,33
6146121,PS.EXTREMADURA 11-BA,COMERCIAL,2
6146122,PS.EXTREMADURA 11-2-C,DOMESTICO,6
6146123,PS.EXTREMADURA 11-2-D,DOMESTICO,0
6146124,PS.EXTREMADURA 11-1-E,DOMESTICO,12
6146126,PS.EXTREMADURA 23 .,DOMESTICO,15
6146127,PS.EXTREMADURA 25,DOMESTICO,60
6146128,PS.EXTREMADURA 9 A,DOMESTICO,5
6146129,PS.EXTREMADURA 7,INDUSTRIAL,34
6146131,PS.EXTREMADURA 1,COMERCIAL,68
6146133,FRAILES 16,DOMESTICO,42
6146134,FRAILES 12,DOMESTICO,8
6146135,FRAILES 1,DOMESTICO,0
6146136,FRAILES 3,DOMESTICO,0
